I, [2016-07-26T19:24:36.862644 #2754]  INFO -- Kitchen: -----> Starting Kitchen (v1.10.2)
E, [2016-07-26T19:24:36.863317 #2754] ERROR -- Kitchen: ------Exception-------
E, [2016-07-26T19:24:36.863353 #2754] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2016-07-26T19:24:36.863371 #2754] ERROR -- Kitchen: Message: Kitchen YAML file /home/atishay/chef-repo/.kitchen.yml does not exist.
E, [2016-07-26T19:24:36.863398 #2754] ERROR -- Kitchen: ----------------------
E, [2016-07-26T19:24:36.863412 #2754] ERROR -- Kitchen: ------Backtrace-------
E, [2016-07-26T19:24:36.863426 #2754] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2016-07-26T19:24:36.863439 #2754] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:154:in `data'
E, [2016-07-26T19:24:36.863456 #2754] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:133:in `suites'
E, [2016-07-26T19:24:36.863470 #2754] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:184:in `filter_instances'
E, [2016-07-26T19:24:36.863483 #2754] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:143:in `build_instances'
E, [2016-07-26T19:24:36.863497 #2754] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:119:in `instances'
E, [2016-07-26T19:24:36.863511 #2754] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2016-07-26T19:24:36.863524 #2754] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2016-07-26T19:24:36.863537 #2754] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/command/action.rb:38:in `block in call'
E, [2016-07-26T19:24:36.863551 #2754] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2016-07-26T19:24:36.863564 #2754] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/command/action.rb:37:in `call'
E, [2016-07-26T19:24:36.863579 #2754] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/cli.rb:56:in `perform'
E, [2016-07-26T19:24:36.863593 #2754] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/cli.rb:184:in `block (2 levels) in <class:CLI>'
E, [2016-07-26T19:24:36.863607 #2754] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2016-07-26T19:24:36.863620 #2754] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2016-07-26T19:24:36.863633 #2754] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/cli.rb:325:in `invoke_task'
E, [2016-07-26T19:24:36.863647 #2754] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2016-07-26T19:24:36.863674 #2754] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2016-07-26T19:24:36.863688 #2754] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/bin/kitchen:13:in `block in <top (required)>'
E, [2016-07-26T19:24:36.863701 #2754] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/errors.rb:174:in `with_friendly_errors'
E, [2016-07-26T19:24:36.863734 #2754] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/bin/kitchen:13:in `<top (required)>'
E, [2016-07-26T19:24:36.863751 #2754] ERROR -- Kitchen: /usr/bin/kitchen:17:in `load'
E, [2016-07-26T19:24:36.863765 #2754] ERROR -- Kitchen: /usr/bin/kitchen:17:in `<main>'
E, [2016-07-26T19:24:36.863784 #2754] ERROR -- Kitchen: ----End Backtrace-----
